Date,Open,High,Low,Close,Volume,Adj Close
2013-02-04,26.10,26.70,25.70,25.90,4975400,4.985
2013-02-01,25.50,26.20,25.10,26.00,3949800,5.004
2013-01-31,27.70,27.70,25.60,26.00,7900900,5.004
2013-01-30,26.00,27.40,24.20,26.90,15724800,5.177
2013-01-29,27.70,27.90,23.40,26.10,22986200,5.023
2013-01-28,23.70,27.00,23.30,26.90,21113900,5.177
2013-01-25,23.00,26.00,22.20,24.00,17845700,4.619
2013-01-24,20.50,23.50,20.00,23.10,15019600,4.446
2013-01-23,17.80,19.70,17.60,19.70,10070600,3.791
2013-01-22,17.90,18.00,17.70,17.90,2028900,3.445
2013-01-21,18.00,18.00,17.30,17.70,2957300,3.407
2013-01-18,17.50,18.20,17.50,17.90,5099300,3.445
2013-01-17,16.90,17.80,16.90,17.40,4506400,3.349
2013-01-16,17.00,17.10,16.60,16.90,2905800,3.253
2013-01-15,16.30,17.90,15.60,16.90,12371800,3.253
2013-01-14,16.60,16.90,15.60,16.20,12965200,3.118
2013-01-11,15.80,15.80,14.55,14.70,13964100,2.829
2013-01-10,16.70,16.70,15.70,16.00,5828800,3.079
2013-01-09,17.40,17.90,16.20,16.80,11446200,3.233
2013-01-08,16.80,18.40,16.40,16.90,20300600,3.253
2013-01-07,15.10,16.70,15.10,16.30,10222400,3.137
2013-01-04,13.55,15.20,13.50,14.80,9616200,2.848
2013-01-03,12.90,13.75,12.90,13.40,3669100,2.579
2013-01-02,12.85,13.00,12.60,12.85,1884300,2.473
2013-01-01,12.35,12.35,12.35,12.35,000,2.377
2012-12-31,12.35,12.35,12.35,12.35,000,2.377
2012-12-28,12.85,13.10,12.35,12.35,6315500,2.377
2012-12-27,11.95,13.25,11.25,12.75,8979000,2.454
2012-12-26,12.10,12.10,12.10,12.10,000,2.329
2012-12-25,12.10,12.10,12.10,12.10,000,2.329
2012-12-24,12.10,12.10,12.10,12.10,000,2.329
2012-12-21,13.60,13.80,11.85,12.10,10572900,2.329
2012-12-20,11.50,15.40,11.50,14.10,17700300,2.714
2012-12-19,10.90,11.40,10.90,11.30,4951500,2.175
2012-12-18,9.95,10.65,9.90,10.65,7150900,2.05
2012-12-17,9.80,9.90,9.70,9.80,1353600,1.886
2012-12-14,9.50,9.90,9.50,9.75,4209800,1.876
2012-12-13,9.00,9.25,9.00,9.25,2833300,1.78
2012-12-12,8.60,9.00,8.60,8.85,1587600,1.703
2012-12-11,8.60,8.80,8.60,8.60,960500,1.655
2012-12-10,8.95,8.95,8.50,8.75,1509200,1.684
2012-12-07,9.10,9.20,9.00,9.05,696900,1.742
2012-12-06,9.10,9.20,9.05,9.10,1072300,1.751
2012-12-05,9.05,9.25,9.05,9.10,1004600,1.751
2012-12-04,8.90,9.10,8.90,9.05,882400,1.742
2012-12-03,8.60,8.85,8.60,8.85,590100,1.703
2012-11-30,8.85,8.95,8.60,8.60,1280700,1.655
2012-11-29,8.50,8.95,8.35,8.85,2482000,1.703
2012-11-28,7.95,8.25,7.90,8.15,1089300,1.569
2012-11-27,8.00,8.10,7.85,7.95,727700,1.53
2012-11-26,7.90,8.20,7.85,7.95,2208500,1.53
2012-11-23,7.35,7.55,7.35,7.50,743300,1.443
2012-11-22,7.30,7.60,7.25,7.35,452200,1.415
